"RAZÃO SOCIAL";"NOME FANTASIA";"CNPJ";"NATUREZA JURIDICA";"DATA INICIO OPERAÇÃO";"PORTE";"SITUAÇÃO";"TIPO ATIVIDADE";"SUBTIPO ATIVIDADE";"CEP";"UF";"LOCALIDADE";"BAIRRO";"LOGRADOURO";"TELEFONE";"FAX";"E-MAIL2";"E-MAIL3";"SITE";"CÓDIGO CERTIFICADO";"CÓDIGO E DESCRIÇÃO CNAE";"CAPACIDADE DE LUGARES";"LINGUAS"
O.C. SILVA & FAKIH LTDA - ME;O CASARÃO;"37.207.198/0001-99";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;79.806.060;MS;Dourados;Jardim Caramuru;RUA DOS MISSIONÁRIOS Nº 302 - CENTRO;(67) 3421-9010;(67) 8426-9010;jbfakih@globo.com;dourados@agenciagenese.com.br;www.restauranteocasarao.com.br;"12.074594.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";150;Nenhuma das Opções
CRSA COMERCIO DE ALIMENTOS E BEBIDAS LTDA;PASTA FAST;"08.730.063/0001-05";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;41.820.908;BA;Salvador;Caminho das Árvores;AV. TANCREDO NEVES 2719, 3º PISO, LJ 3030 SALVADOR SHOPPING;(71) 3019-1607;;sidnei.p.santos2@gmail.com;;;"05.086855.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";120;Nenhuma das Opções
ITUSAUDAVEL SP COMERCIO DE ALIMENTOS LTDA - ME;ITUSAUDAVEL SP;"21.242.429/0001-65";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;13.301.000;SP;Itu;Liberdade;AVENIDA DOUTOR OTAVIANO PEREIRA MENDES, 747;(11) 2715-0896;;fpiccolotto@gmail.com;susana@grupogrl.com.br;;"26.079977.15.0001-5";"5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Primário)";70;Nenhuma das Opções
MAGDA MOFATTO HON-EPP;HOTEL E RESTAURANTE ROMA;"01.346.360/0001-02";Sociedade Empresária;"13/12/1984";Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;75.690.000;GO;Caldas Novas;Caldas Novas;PÇA MESTRE ORLANDO Nº 368                                   ;(64) 3454-9000;(64) 3454-9006;reservas@diroma.com.br;;WWW.DIROMA.COM.BR;"09.018785.15.0001-3";"5510-8/01-HOTEL (Primário), 5611-2/03-BAR SEM SERVIÇO COMPLETO (Secundário)";160;
PASSIONI RESTAURANTE LTDA - ME;RESTAURANTE PASSIONE;"14.522.900/0001-03";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;11.680.000;SP;Ubatuba;Ubatuba;AV CAPITAO FELIPE, 560;(12) 3835-1249;;balanimt@hotmail.com;;;"26.080915.15.0001-5";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";100;Nenhuma das Opções
CONVÉS POUSADA LTDA - EPP;CONVÉS POUSADA;"23.889.634/0001-42";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;57.180.000;AL;Barra de São Miguel;Barra de São Miguel;R. IRAILDO SOUZA VILLELA, 86;(82) 99335-8144;;neidoca.calazans@hotmail.com;;;"02.076714.15.0001-1";"5590-6/99-DORMITÓRIO; SERVIÇO DE ALOJAMENTO (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário), 5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Secundário), 5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";40;Nenhuma das Opções
ANDRE MICHAEL CAMPOS RAMOS - ME;ICHI BAN - ORIENTAL FOOD  ;"07.803.789/0001-68";Empresário Individual (Não MEI);;Empresa de Pequeno Porte;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;13.820.000;SP;Jaguariúna;Jaguariúna;"R MARIA ANGELA; N°341 ";(19) 3867-0922;;andreramos98@hotmail.com;;;"26.081843.15.0001-9";"5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Primário)";80;Espanhol ,Inglês
PIZZAS E GRELHADOS LTDA-ME;PIZZA-LA;"02.912.779/0001-47";Sociedade Simples;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;74.150.040;GO;Goiânia;Setor Marista;AVENIDA D QD G 11 LT 20 N.465;(62) 3291-3547;;giselledaianeso@gmail.com;;;"09.074436.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";160;Nenhuma das Opções
GERALDA RIGO - ME;REFEIÇÕES E LANCHONETE RIGÃO;"06.937.459/0001-00";Microempreendedor Individual (MEI);;Mei;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;76.420.000;GO;Niquelândia;Niquelândia;TV VALDEMAR CURADO C/ AV. GETULIO VARGAS Nº03 CENTRO;(62) 3354-1863;(62) 3354-5500;mega.contabil33@gmail.com;;;"09.076700.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";92;Nenhuma das Opções
RS COMERCIO DE CERVEJAS ESPECIAIS LTDA;MESTRE-CERVEJEIRO.COM ASA NORTE;"25.015.060/0001-09";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Similar;70.752.510;DF;Brasília;Asa Norte;CLN 109 BLOCO A LOJA 04 TERRREO E 07 SUBSOLO;(61) 3263-4031;;rai@mestre-cervejeiro.com;;http://www.mestre-cervejeiro.com/lojas/brasilia-asa-norte/;"07.083886.15.0001-5";"5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Secundário)";32;Inglês
J CARVALHO SILVA;J C RESTAURANTE;"16.587.825/0001-94";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;65.590.000;MA;Barreirinhas;Barreirinhas;PRAIA DO CABURE, S/N - VILA PRAIA DO CABURE;(98) 8882-7363;;jcsilvacarvalho@hotmail.com;;;"10.078351.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";170;Espanhol
RESTAURANTE MADURODAM LTDA - EPP;MADURODAM;"04.393.743/0001-20";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;13.825.000;SP;Holambra;Holambra;PC DOS PIONEIROS, 56;(19) 3802-2382;;rest.maduridam@gmail.com;;;"26.082638.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";130;Inglês
MOMO CONFEITARIA - EPP;MOMO CONFEITARIA - EPP;"02.416.490/0001-37";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;30.380.252;MG;Belo Horizonte;Coração de Jesus;AVENIDA PRUDENTE DE MORAIS 1158, LOJA 06 - 07;(31) 9849-3204;(31) 3422-7633;auditoria@momoconfeitaria.com.br;;;"11.078512.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Secundário)";30;
MARIA DE NAZARÉ ROCHA DA SILVA 41317840330;BAR E LANCHONETE JP;"28.298.377/0001-98";Microempreendedor Individual (MEI);;Mei;Em Operação;Restaurantes, Cafeterias e Bares;Bar;65.990.000;MA;Riachão;Riachão;PC PRAÇA DAS CRIANÇAS, S/N CENTRO;(99) 98835-3537;;com-estilo@hotmail.com;;;"10.088606.15.0001-4";"5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Primário)";80;Nenhuma das Opções
J B TEIXEIRA CARVALHO E CIA LTDA - ME;PIM PÃO LANCHES E RESTAURANTE SINTA-SE A VONTADE;"04.359.603/0001-35";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;78.048.250;MT;Cuiabá;Residencial Paiaguás;AV. DR. HELIO RIBEIRO,14;(65) 3631-2670;;contato@pimpaorestaurante.com.br;;;"13.050393.15.0001-1";"5611-2/01-A PESO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Primário), 5611-2/03-ALIMENTAÇÃO SEM SERVIÇO COMPLETO; SERVIÇO DE (Secundário), 5611-2/01-ALIMENTAÇÃO COM SERVIÇO COMPLETO; SERVIÇOS DE (Secundário), 5611-2/01-CHURRASCARIA; SERVIÇO DE ALIMENTAÇÃO (Secundário), 5611-2/03-CASA DE DOCES E SALGADOS; SERVIÇO DE ALIMENTAÇÃO (Secundário), 5611-2/03-CASA DE SUCO; SERVIÇO DE ALIMENTAÇÃO (Secundário)";140;Espanhol ,Inglês
J. DA COSTA PIMENTEL & CIA. LTDA - ME;SABOR DO AÇAÍ;"14.926.602/0001-89";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Similar;68.537.000;PA;Canaã dos Carajás;Canaã dos Carajás;AV. WEYNE CAVALCANTE, 517.;(94) 99219-2967;;cleidyhsousa@outlook.com;;;"14.079213.15.0001-5";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";68;Nenhuma das Opções
D R DA SILVA - ME;KIRIRAS RESTAURANTE;"22.638.644/0001-42";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;76.510.000;GO;Crixás;Crixás;RUA DO COMERCIO QD.15 LT.08 VILA SÃO JOÃO;(62) 3365-1066;;condadoscontabilidade@gmail.com;;;"09.087041.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";70;Nenhuma das Opções
AAJ RESTAURANTE 157DF LTDA -ME;****;"24.341.559/0001-43";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;71.909.720;DF;Taguatinga;Norte (Águas Claras);R 13 NORTE LOTE 01 E 03, RUA 14 NORTE LOTE 02 E 04 ;(61) 9255-5423;;contato@volpe.com;;;"07.078055.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";50;Inglês
M. DA C. S. REIS TEIXEIRA- ME;RESTAURANTE REGIONAL;"02.649.401/0001-00";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;68.721.000;PA;Salinópolis;Salinópolis;TRAVESSA MANOEL MOREL, S/Nº;(91) 3423-1024;;jbtur@hotmail.com;;;"14.061884.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";200;
SIMONIA LUZIA MAIA- ME;EMPORIO FAZENDINHA;"10.918.354/0001-73";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Similar;35.460.000;MG;Brumadinho;Brumadinho;ROD.MG-040, KM48;(31) 9968-3324;;emporiofazendinha@gmail.com;;;"11.063139.15.0001-0";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";40;Inglês
M DAS V JOSÉ RESTAURANTES - ME;RESTAURANTE KAÇUÁ;"18.968.254/0001-63";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;59.290.000;RN;São Gonçalo do Amarante;São Gonçalo do Amarante;ROD RN 160, Nº 16 - SANTO ANTÔNIO DO POTENGÍ;(84) 3278-2052;;restaurantekacua@hotmail.com;;;"20.075969.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";300;Nenhuma das Opções
J BARBOSA DE SOUZA -ME;AMARELINHO RESTAURANTE;"63.592.232/0001-04";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;69.918.630;AC;Rio Branco;CONJUNTO PROCON;RUA ANTONIO DA ROCHA VIANA-3128;(68) 3228-0982;;joaobarbosa_acre@hotmail.com;;;"01.060917.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";80;Nenhuma das Opções
AMANDA SILVA GEBRAN;PASTELARIA DO SERJÃO;"20.457.207/0001-05";Microempreendedor Individual (MEI);;Mei;Em Operação;Restaurantes, Cafeterias e Bares;Bar;74.980.020;GO;Aparecida de Goiânia;Setor Central;RUA ABRAO LOURENÇO DE CARVALHO QD.25 LT.14 CASA 02;(62) 98629-9356;;sergiogebran@hotmail.com;;;"09.088794.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";30;Nenhuma das Opções
R. DOS SANTOS SILVA RESTAURNTE - ME;GARIMPO GOURMET BAR E RESTAURANTE;"21.437.552/0001-31";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;46.960.000;BA;Lençóis;Lençóis;AV. 7 DE SETEMBRO, 22 - CENTRO;(75) 3334-1158;;restaurantegarimpogourmet@gmail.com;;;"05.089425.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Secundário)";50;Nenhuma das Opções
G. DE SOUZA PACHECO - ME;KITUT´S DA LEIDE;"08.733.367/0001-26";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;69.117.000;AM;Rio Preto da Eva;Rio Preto da Eva;RUA GOVERNADOR JOSÉ LINDOSO, Nº52 - I ETAPA - CENTRO;(92) 3328-1007;(92) 9165-2079;kitutsdaleide@hotmail.com;;;"03.055695.15.0001-4";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";150;Espanhol
LAURENT JACQUES SERGE CALVET DUTRA 86254958503;VITAMINA HOSTEL;"27.921.645/0001-13";Microempreendedor Individual (MEI);;Mei;Em Operação;Restaurantes, Cafeterias e Bares;Bar;62.690.000;CE;Trairi;Trairi;RODOVIA CE 346, Nº 2854 - BARREIRO - FLECHEIRAS;(85) 99960-0711;;lolo3223@hotmail.com;;;"06.087521.15.0001-0";"5590-6/99-DORMITÓRIO; SERVIÇO DE ALOJAMENTO (Primário), 5611-2/02-BAR COM SERVIÇO COMPLETO; SERVIÇO DE ALIMENTAÇÃO (Secundário)";15;Espanhol ,Francês ,Inglês
ROBERTO KEMEL ALCHAAR DE FARIA - ME;ROBERTO KEMEL ALCHAAR DE FARIA - ME;"03.029.465/0001-63";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Similar;39.850.000;MG;Ataléia;Ataléia;RUA TEOFILO OTONI 180 CENTRO;(33) 98853-8240;;genconta@veloxmail.com.br;;;"11.083603.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Secundário), 4789-0/01-ARTIGOS DE ARTESANATO; COMÉRCIO VAREJISTA (Secundário)";20;
MARIA DE FATIMA DA SILVA DOS SANTOS - 723581224-91;CHURRASCARIA E PEIXARIA DO PINTO;"19.677.022/0001-19";Microempreendedor Individual (MEI);;Mei;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;57.400.000;AL;Pão de Açúcar;Pão de Açúcar;AV. FERREIRA DE NOVAIS, S/N;(82) 99644-2200;;fatimasilvasantos40@hotmail.com;;;"02.079603.15.0001-6";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";120;Nenhuma das Opções
HS ALIMENTAÇÃO , HOSPEDAGEM, COM E SERV. LTDA -ME;CHURRASCARIA , HOTEL E RODÍZIO PAU DE FRUTA;"08.022.122/0001-90";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;39.100.000;MG;Diamantina;Diamantina;ALTO DO GUINDA, S/N, ZONA RURAL;(38) 3534-6003;(38) 3534-6003;hsalimentacao@bol.com.br;;;"11.041703.15.0001-3";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5510-8/01-HOTEL (Secundário), 8230-0/01-ORGANIZAÇÃO, PRODUÇÃO E PROMOÇÃO DE ENCONTROS E CONGRESSOS, SERVIÇOS DE (Secundário)";1.000;Nenhuma das Opções
BESSA BEACH HOTEL E SERVICOS LTDA -ME;BESSA BEACH HOTEL;"17.882.347/0001-08";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;58.035.010;PB;João Pessoa;Bessa;AV ARTUR MONTEIRO PAIVA 1096;(83) 3506-9423;;jansilvamma96@gmail.com;;www.bessabeachhotel.com.br;"15.058539.15.0001-8";"5510-8/01-HOTEL (Primário), 5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Secundário)";68;Espanhol ,Inglês
BAR JARDIM CULTURAL EIRELI - EPP;O JARDIM CULTURAL ;"21.288.186/0001-04";Empresa Individual (EIRELI);;Empresa de Pequeno Porte;Em Operação;Restaurantes, Cafeterias e Bares;Bar;11.680.000;SP;Ubatuba;Ubatuba;R GUARANI, 345;(12) 3832-3440;;fabianolrezende@gmail.com;;;"26.077601.15.0001-1";"5611-2/02-BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS (Primário)";300;Espanhol ,Japonês ,Inglês
JOAO MELLO O MELINHO - ME;JOAO MELLO O MELINHO - ME;"08.766.646/0001-96";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Similar;89.580.000;SC;Fraiburgo;Fraiburgo;RUA ARNOLDO FREY, 571;(49) 3246-4192;(49) 9923-6812;naneops@hotmail.com;;;"24.078379.15.0001-9";"5611-2/03-ALIMENTAÇÃO SEM SERVIÇO COMPLETO; SERVIÇO DE (Primário)";68;Nenhuma das Opções
MACROFOOD EIRELE-ME;MACROFOOD;"16.960.061/0001-30";Empresa Individual (EIRELI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;74.055.110;GO;Goiânia;Setor Central;ROD. BR 153, S/N, QUADRAAREA LOTE01, AREA 01, BLOCO 10 -FAZENDA BOTAFOGO;(62) 4006-5353;;fernando@congelcontabilidade.com.br;;;"09.075655.15.0001-7";"5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Primário)";100;Inglês
CHURRASCARIA E POUSADA PITOMBEIRA LTDA - ME;CHURRASCARIA PITOMBEIRA;"03.145.782/0001-45";Sociedade Empresária;"12/05/1999";Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;63.475.000;CE;Jaguaribe;Jaguaribe;ROD BR 116 KM 299, S/N - TÉRREO - CRUZEIRO;(88) 3522-1272;(88) 99968-8589;cppitombeira@hotmail.com;;;"06.033529.15.0001-2";"5510-8/02-APART-HOTEL (USADO COMO HOTEL) (Primário), 5611-2/01-RESTAURANTES E SIMILARES (Secundário)";170;Nenhuma das Opções
PANIFICADORA LANCHONETE PIZZARIA VIANA LTDA - ME;PANIFICADORA LANCHONETE PIZZARIA VIANA;"02.021.715/0001-56";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;79.200.000;MS;Aquidauana;Aquidauana;R. MARECHAL MALLET, 773;(67) 3241-2654;(67) 3474-2812;panificadoraviana@hotmail.com;aquitur@yahoo.com.br;;"12.070959.15.0001-8";"5611-2/01-RESTAURANTES E SIMILARES (Secundário)";150;Espanhol ,Inglês
RESTAURANTE E RECEPTIVO FRUTOS DO MAR LTDA - ME;RECEPTIVO E RESTAURANTE FRUTOS DO MAR;"00.282.468/0001-16";Sociedade Empresária;"08/11/1994";Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;57.955.000;AL;Maragogi;Maragogi;AV. SENADOR RUI PALMEIRA, Nº 253;(82) 3296-1403;;betolaranjeira@hotmail.com;;;"02.035168.15.0001-0";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 7911-2/00-AGÊNCIA DE VIAGEM; SERVIÇO DE (Secundário)";400;Espanhol
RESTAURANTE JOTA 3C LTDA;RESTAURANTE 7 COPAS;"12.127.655/0001-04";Sociedade Simples;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;74.275.060;GO;Goiânia;Jardim América;RUA C-137 N34 QD.563 LT.03 ;(62) 3932-1040;;cibelyaa@hotmail.com;;;"09.074875.15.0001-6";"5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Secundário)";136;Inglês
M C G DE SOUSA ANDRADE -EIRELI-ME;CHURRASCARIA CONQUISTA;"22.646.838/0001-90";Empresa Individual (EIRELI);;Empresa de Pequeno Porte;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;68.537.000;PA;Canaã dos Carajás;Canaã dos Carajás;RUA AMAZONAS, 572 PARQUE SHALOM;(94) 99161-0417;;turismo.canaa@hotmail.com;;;"14.078950.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";80;
WOW BURGUER E GRILL LTDA - ME;WOW BURGUER;"21.566.440/0001-80";Sociedade Empresária;;Empresa de Pequeno Porte;Em Operação;Restaurantes, Cafeterias e Bares;Similar;74.080.295;GO;Goiânia;Setor Sul;RUA 87 N°750 QD.F-25 LT.96;(62) 3248-5828;;lance.contab@brturbo.com.br;;;"09.074149.15.0001-8";"5611-2/03-ALIMENTAÇÃO SEM SERVIÇO COMPLETO; SERVIÇO DE (Secundário), 5611-2/02-BAR COM SERVIÇO COMPLETO; SERVIÇO DE ALIMENTAÇÃO (Secundário), 5611-2/03-CASA DE DOCES E SALGADOS; SERVIÇO DE ALIMENTAÇÃO (Secundário)";100;Inglês
CINTHIA YUKARI IDEYAMA UENO;HIKARI YAKIBOX;"24.403.261/0001-10";Microempreendedor Individual (MEI);;Mei;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;78.360.000;MT;Campo Novo do Parecis;Campo Novo do Parecis;RUA TEREZINA, 810 AP. 01 - B. NOSSA SENHORA APARECIDA;(65) 98127-9869;(65) 99635-8705;c.yukarii@gmail.com;;;"13.088981.15.0001-0";"5611-2/03-FAST-FOOD; SERVIÇO DE ALIMENTAÇÃO (Secundário)";100;Japonês
RIEDEL E NALESSO LTDA ME;PARATI RESTAURANTE;"00.873.517/0001-95";Sociedade Empresária;"19/10/1995";Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;18.206.420;SP;Itapetininga;Vila Nastri;RUA CEL. PEDRO DIAS BATISTA 1164;(15) 3271-0246;(15) 3271-0246;paratirestaurante@gmail.com;;;"26.030409.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";96;Inglês
LUCIANA BALBINO DE SOUZA;RESTAURANTE RURAL VÓ MARIA;"18.274.247/0001-61";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;58.397.000;PB;Areia;Areia;SIT CHA DO JARDIM SN ZONA RURAL ;(83) 9998-2597;(83) 8826-8208;lucbalbino@yahoo.com.br;;;"15.058598.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";65;Nenhuma das Opções
VALDECIR ANTONIO DA ROSA 90493087087;VALDECIR ANTONIO DA ROSA;"21.501.971/0001-95";Microempreendedor Individual (MEI);;Mei;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;95.793.000;RS;Maratá;Maratá;R ERNE PLESTSCH 500;(51) 9794-6618;;turismo@marata.rs.gov.br;;;"23.081383.15.0001-1";"5611-2/01-RESTAURANTE COM SERVIÇO COMPLETO
 (Primário)";100;Alemão
CHURRASCARIA  E RESTAURANTE NOVA GAUCHÂO LTDA-ME;CHURRASCARIA GAUCHÃO;"07.194.069/0001-42";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;29.375.000;ES;Venda Nova do Imigrante;Venda Nova do Imigrante;AV ANGELO ALTOE,886 ,LOJA 12;(28) 3546-1969;;nonagaucha@gmail.com;;;"08.038802.15.0001-1";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";130;Nenhuma das Opções
HOTEL BAEZA EIRELI -ME;HOTEL BAEZA;"18.459.759/0001-00";Empresa Individual (EIRELI);;Empresa de Pequeno Porte;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;75.600.000;GO;Goiatuba;Goiatuba;AVENIDA PRESIDENTE VARGAS Nº 300,CENTRO;(64) 3495-4000;(64) 3495-4000;reservas@hotelbaeza.com.br;acp222@hotmail.com;www.hotelbaeza.com.br;"09.076250.15.0001-3";"5510-8/01-HOTEL (Primário), 8230-0/02-CASA DE EVENTOS; GESTÃO DE (Secundário), 5611-2/01-RESTAURANTE COM SERVIÇO COMPLETO
 (Secundário), 5611-2/03-FAST-FOOD; SERVIÇO DE ALIMENTAÇÃO (Secundário)";100;
ADEMAR DE LARA - ME;BAR E RESTAURANTE LARA;"02.751.115/0001-43";Sociedade Empresária;;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;89.580.000;SC;Fraiburgo;Fraiburgo;RUA CASTELO BRANCO, 75, SL 02;(49) 3246-0141;;adrianafatimadelara@gmail.com;;;"24.042385.15.0001-8";"5611-2/03-LANCHONETES, CASAS DE CHÁ, DE SUCOS E SIMILARES (Primário)";350;Nenhuma das Opções
LINDO C DA COSTA - EPP;BAR E RESTAURANTE  CROCODILOS;"23.293.532/0001-60";Empresário Individual (Não MEI);;Empresa de Pequeno Porte;Em Operação;Restaurantes, Cafeterias e Bares;Bar;69.117.000;AM;Rio Preto da Eva;Rio Preto da Eva;AV  BALNEARIO  BURITI  Nº05  BOX  05  CENTRO ;(92) 99122-3704;(92) 99294-2776;dinof4rias@outlook.com;;;"03.083998.15.0001-4";"5611-2/01-A KILO; ALIMENTAÇÃO, COMIDA, REFEIÇÃO (Secundário)";120;
MARIO CESAR NUNES IORIO - ME;CANTINA ITALIANA;"16.587.287/0001-38";Empresário Individual (Não MEI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;29.650.000;ES;Santa Teresa;Santa Teresa;AV. JOSE RUSCHI 347 : LOJA B;(27) 3259-3733;(27) 9922-2517;cesariorio@hotmail.com;;;"08.056527.15.0001-2";"5611-2/01-RESTAURANTES E SIMILARES (Primário), 5620-1/02-BUFE; SERVIÇOS DE ALIMENTAÇÃO (Secundário), 4789-0/01-ARTIGOS DE ARTESANATO; COMÉRCIO VAREJISTA (Secundário)";90;Italiano ,Inglês
ILDESFRANKES ISMAEL  RIBEIRO DE SOUZA 00038087260;AÇAI  CREMOSO;"14.071.352/0001-42";Microempreendedor Individual (MEI);;Mei;Em Operação;Restaurantes, Cafeterias e Bares;Similar;69.800.000;AM;Humaitá;Humaitá;RUA 29 DE AGOSTO  Nº464  - AM;(97) 98404-1449;(69) 98422-2832;f19b13@hotmail.com;;;"03.086245.15.0001-6";"5611-2/03-LANCHONETE; SERVIÇO DE ALIMENTAÇÃO (Secundário)";60;Nenhuma das Opções
MYRANTE ALIMENTOS E SERVIÇOS EIRELI - ME;MYRANTE ALIMENTOS E SERVIÇOS EIRELI - ME;"00.600.172/0001-04";Empresa Individual (EIRELI);;Microempresa;Em Operação;Restaurantes, Cafeterias e Bares;Restaurante;8.900.000;SP;Guararema;Guararema;RUA RAUL DE CASTRO Nº 45;(11) 4693-5435;;compras.mirantedoparaiba@gmail.com;nathalyastilhano@gmail.com;;"26.075899.15.0001-9";"5611-2/01-RESTAURANTES E SIMILARES (Primário)";135;Espanhol ,Inglês
